Epoch 118/500, Train_Loss: 0.0035, Train_Accuracy: 0.6164, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 119/500, Train_Loss: 0.0037, Train_Accuracy: 0.7808, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.8148
Epoch 120/500, Train_Loss: 0.0038, Train_Accuracy: 0.8014, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 121/500, Train_Loss: 0.0042, Train_Accuracy: 0.8425, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 122/500, Train_Loss: 0.0037, Train_Accuracy: 0.7945, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5926
Epoch 123/500, Train_Loss: 0.0031, Train_Accuracy: 0.7877, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 124/500, Train_Loss: 0.0035, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 125/500, Train_Loss: 0.0037, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.1429,Test_Accuracy: 0.7778
Epoch 126/500, Train_Loss: 0.0037, Train_Accuracy: 0.7808, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7037
Epoch 127/500, Train_Loss: 0.0032, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 128/500, Train_Loss: 0.0036, Train_Accuracy: 0.8356, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 129/500, Train_Loss: 0.0034, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 130/500, Train_Loss: 0.0042, Train_Accuracy: 0.2740, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.5556
Epoch 131/500, Train_Loss: 0.0037, Train_Accuracy: 0.5616, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.6296
Epoch 132/500, Train_Loss: 0.0037, Train_Accuracy: 0.6438, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.5926
Epoch 133/500, Train_Loss: 0.0032, Train_Accuracy: 0.8562, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 134/500, Train_Loss: 0.0033, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 135/500, Train_Loss: 0.0034, Train_Accuracy: 0.8836, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 136/500, Train_Loss: 0.0035, Train_Accuracy: 0.7945, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7037
Epoch 137/500, Train_Loss: 0.0036, Train_Accuracy: 0.7260, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 138/500, Train_Loss: 0.0034, Train_Accuracy: 0.7877, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.4286,Test_Accuracy: 0.7037
Epoch 139/500, Train_Loss: 0.0038, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.4286,Test_Accuracy: 0.7778
Epoch 140/500, Train_Loss: 0.0039, Train_Accuracy: 0.6644, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.5926
Epoch 141/500, Train_Loss: 0.0039, Train_Accuracy: 0.5890, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2143,Test_Accuracy: 0.4074
Epoch 142/500, Train_Loss: 0.0034, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 143/500, Train_Loss: 0.0037, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 144/500, Train_Loss: 0.0033, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2143,Test_Accuracy: 0.7778
Epoch 145/500, Train_Loss: 0.0032, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.1429,Test_Accuracy: 0.7778
Epoch 146/500, Train_Loss: 0.0031, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.6429,Test_Accuracy: 0.7778
Epoch 147/500, Train_Loss: 0.0036, Train_Accuracy: 0.6575, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.6667
Epoch 148/500, Train_Loss: 0.0037, Train_Accuracy: 0.7603, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 149/500, Train_Loss: 0.0032, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
